sx,sz,rx,rz,t_obs
40.0,8.0,0.0,8.0,0.06
40.0,8.0,16.0,8.0,0.048
40.0,8.0,32.0,8.0,0.04
40.0,8.0,48.0,8.0,0.04
40.0,8.0,64.0,8.0,0.048
40.0,8.0,80.0,8.0,0.056
40.0,8.0,96.0,8.0,0.068
40.0,8.0,112.0,8.0,0.076
40.0,8.0,128.0,8.0,0.08
40.0,8.0,144.0,8.0,0.088
40.0,8.0,160.0,8.0,0.096
40.0,8.0,176.0,8.0,0.1
40.0,8.0,192.0,8.0,0.10400000000000001
40.0,8.0,208.0,8.0,0.112
40.0,8.0,224.0,8.0,0.12
40.0,8.0,240.0,8.0,0.128
40.0,8.0,256.0,8.0,0.132
40.0,8.0,272.0,8.0,0.14
40.0,8.0,288.0,8.0,0.148
40.0,8.0,304.0,8.0,0.156
40.0,8.0,320.0,8.0,0.16
40.0,8.0,336.0,8.0,0.168
40.0,8.0,352.0,8.0,0.176
40.0,8.0,368.0,8.0,0.18
40.0,8.0,384.0,8.0,0.184
40.0,8.0,400.0,8.0,0.192
40.0,8.0,416.0,8.0,0.196
40.0,8.0,432.0,8.0,0.20400000000000001
40.0,8.0,448.0,8.0,0.212
40.0,8.0,464.0,8.0,0.216
40.0,8.0,480.0,8.0,0.224
40.0,8.0,496.0,8.0,0.232
40.0,8.0,512.0,8.0,0.24
40.0,8.0,528.0,8.0,0.248
40.0,8.0,544.0,8.0,0.252
40.0,8.0,560.0,8.0,0.26
40.0,8.0,576.0,8.0,0.268
40.0,8.0,592.0,8.0,0.272
40.0,8.0,608.0,8.0,0.28
40.0,8.0,624.0,8.0,0.28400000000000003
40.0,8.0,640.0,8.0,0.292
40.0,8.0,656.0,8.0,0.3
40.0,8.0,672.0,8.0,0.304
40.0,8.0,688.0,8.0,0.312
40.0,8.0,704.0,8.0,0.32
40.0,8.0,720.0,8.0,0.324
40.0,8.0,736.0,8.0,0.332
40.0,8.0,752.0,8.0,0.34
40.0,8.0,768.0,8.0,0.34400000000000003
40.0,8.0,784.0,8.0,0.352
40.0,8.0,800.0,8.0,0.36
40.0,8.0,816.0,8.0,0.368
40.0,8.0,832.0,8.0,0.372
40.0,8.0,848.0,8.0,0.38
40.0,8.0,864.0,8.0,0.388
40.0,8.0,880.0,8.0,0.392
40.0,8.0,896.0,8.0,0.4
40.0,8.0,912.0,8.0,0.40800000000000003
40.0,8.0,928.0,8.0,0.41200000000000003
40.0,8.0,944.0,8.0,0.42
40.0,8.0,960.0,8.0,0.428
40.0,8.0,976.0,8.0,0.436
40.0,8.0,992.0,8.0,0.44
40.0,8.0,1008.0,8.0,0.444
40.0,8.0,1024.0,8.0,0.452
40.0,8.0,1040.0,8.0,0.46
40.0,8.0,1056.0,8.0,0.468
40.0,8.0,1072.0,8.0,0.47200000000000003
40.0,8.0,1088.0,8.0,0.48
40.0,8.0,1104.0,8.0,0.484
40.0,8.0,1120.0,8.0,0.492
40.0,8.0,1136.0,8.0,0.5
40.0,8.0,1152.0,8.0,0.508
40.0,8.0,1168.0,8.0,0.512
40.0,8.0,1184.0,8.0,0.52
40.0,8.0,1200.0,8.0,0.528
40.0,8.0,1216.0,8.0,0.532
40.0,8.0,1232.0,8.0,0.536
40.0,8.0,1248.0,8.0,0.544
40.0,8.0,1264.0,8.0,0.552
40.0,8.0,1280.0,8.0,0.56
40.0,8.0,1296.0,8.0,0.5680000000000001
40.0,8.0,1312.0,8.0,0.5760000000000001
40.0,8.0,1328.0,8.0,0.584
40.0,8.0,1344.0,8.0,0.588
40.0,8.0,1360.0,8.0,0.596
40.0,8.0,1376.0,8.0,0.604
40.0,8.0,1392.0,8.0,0.0
40.0,8.0,1408.0,8.0,0.0
40.0,8.0,1424.0,8.0,0.0
40.0,8.0,1440.0,8.0,0.0
40.0,8.0,1456.0,8.0,0.632
40.0,8.0,1472.0,8.0,0.64
40.0,8.0,1488.0,8.0,0.648
40.0,8.0,1504.0,8.0,0.0
40.0,8.0,1520.0,8.0,0.0
40.0,8.0,1536.0,8.0,0.0
40.0,8.0,1552.0,8.0,0.0
40.0,8.0,1568.0,8.0,0.0
40.0,8.0,1584.0,8.0,0.0
40.0,8.0,1600.0,8.0,0.0
40.0,8.0,1616.0,8.0,0.0
40.0,8.0,1632.0,8.0,0.0
40.0,8.0,1648.0,8.0,0.708
40.0,8.0,1664.0,8.0,0.716
40.0,8.0,1680.0,8.0,0.724
40.0,8.0,1696.0,8.0,0.732
40.0,8.0,1712.0,8.0,0.736
